model,T_test,t,rmse_t_mean,rmse_t_std
LC-DeepONet,4.0,2.349206349206349,0.10858797132968903,0.00699712839647927
LC-DeepONet,4.0,2.4126984126984126,0.10905288606882095,0.00693113935710379
LC-DeepONet,4.0,2.4761904761904763,0.10986859649419785,0.007357814488692734
LC-DeepONet,4.0,2.5396825396825395,0.11116323918104172,0.0081927847341831
LC-DeepONet,4.0,2.603174603174603,0.11284232437610626,0.009396930263031419
LC-DeepONet,4.0,2.6666666666666665,0.11508154422044754,0.010850887184141442
LC-DeepONet,4.0,2.7301587301587302,0.11760341227054597,0.01251386179282042
LC-DeepONet,4.0,2.7936507936507935,0.12029144316911697,0.014370581069224172
LC-DeepONet,4.0,2.8571428571428568,0.12309998571872711,0.01616208550763763
LC-DeepONet,4.0,2.9206349206349205,0.1261335328221321,0.017831842531216835
LC-DeepONet,4.0,2.984126984126984,0.12928107380867004,0.01927179460649547
LC-DeepONet,4.0,3.0476190476190474,0.1327433779835701,0.020562997065752795
LC-DeepONet,4.0,3.1111111111111107,0.13627195209264756,0.021699995939915593
LC-DeepONet,4.0,3.1746031746031744,0.13997444361448289,0.0228683308476002
LC-DeepONet,4.0,3.238095238095238,0.14344626069068908,0.02397323617242164
LC-DeepONet,4.0,3.3015873015873014,0.1467879444360733,0.025072714251729983
LC-DeepONet,4.0,3.3650793650793647,0.14978400021791458,0.026028846874718542
LC-DeepONet,4.0,3.4285714285714284,0.15279811769723892,0.02676996030996344
LC-DeepONet,4.0,3.492063492063492,0.15563510060310365,0.027177706004015163
LC-DeepONet,4.0,3.5555555555555554,0.1585695117712021,0.02737794115150882
LC-DeepONet,4.0,3.6190476190476186,0.1614309787750244,0.027351545836620205
LC-DeepONet,4.0,3.6825396825396823,0.16439374685287475,0.027167147913695386
LC-DeepONet,4.0,3.746031746031746,0.16714908480644225,0.026780478138979765
LC-DeepONet,4.0,3.8095238095238093,0.16976394653320312,0.026213413565689
LC-DeepONet,4.0,3.8730158730158726,0.17209301888942719,0.025387252129892783
LC-DeepONet,4.0,3.9365079365079363,0.17419275343418122,0.024127108934276113
LC-DeepONet,4.0,4.0,0.1759442836046219,0.02245282722561031
LC-DeepONet,6.0,0.0,0.002659263228997588,0.00036297986251996326
LC-DeepONet,6.0,0.09523809523809523,0.0032351078931242227,0.0004640725149537503
LC-DeepONet,6.0,0.19047619047619047,0.010345462150871754,0.0005347093151116068
LC-DeepONet,6.0,0.2857142857142857,0.02175997234880924,0.000927964231183519
LC-DeepONet,6.0,0.38095238095238093,0.03457471877336502,0.001598128407173803
LC-DeepONet,6.0,0.47619047619047616,0.0475615419447422,0.002275633376291361
LC-DeepONet,6.0,0.5714285714285714,0.06028455421328545,0.002892809720496772
LC-DeepONet,6.0,0.6666666666666666,0.07296220511198044,0.0036974793922960126
LC-DeepONet,6.0,0.7619047619047619,0.08531063795089722,0.004944503792510428
LC-DeepONet,6.0,0.8571428571428571,0.09704257547855377,0.006724244600607992
LC-DeepONet,6.0,0.9523809523809523,0.10759057700634003,0.008872464083283831
LC-DeepONet,6.0,1.0476190476190474,0.11668638437986374,0.011084809358334507
LC-DeepONet,6.0,1.1428571428571428,0.1241460844874382,0.013019314884687163
LC-DeepONet,6.0,1.2380952380952381,0.13039635717868805,0.014788456816372858
LC-DeepONet,6.0,1.3333333333333333,0.1355014756321907,0.01632226806181474
LC-DeepONet,6.0,1.4285714285714284,0.13974373638629914,0.01755078181959058
LC-DeepONet,6.0,1.5238095238095237,0.14293093979358673,0.018022678803480213
LC-DeepONet,6.0,1.619047619047619,0.14503685534000396,0.017831523749002764
LC-DeepONet,6.0,1.7142857142857142,0.14606719017028807,0.017308804036499252
LC-DeepONet,6.0,1.8095238095238093,0.14598080813884734,0.016595237599905895
LC-DeepONet,6.0,1.9047619047619047,0.14481158256530763,0.0157265369730297
LC-DeepONet,6.0,2.0,0.14294767677783965,0.014743046637599998
LC-DeepONet,6.0,2.095238095238095,0.14059205651283263,0.013448216395721756
LC-DeepONet,6.0,2.1904761904761902,0.1381445497274399,0.011959505618137167
LC-DeepONet,6.0,2.2857142857142856,0.13582816123962402,0.010153694880397761
LC-DeepONet,6.0,2.380952380952381,0.13361705839633942,0.008069528885676506
LC-DeepONet,6.0,2.4761904761904763,0.1318575769662857,0.006515749707395077
LC-DeepONet,6.0,2.571428571428571,0.13106783628463745,0.0071465715785668585
LC-DeepONet,6.0,2.6666666666666665,0.1315993309020996,0.009591118421360928
LC-DeepONet,6.0,2.761904761904762,0.13321305066347122,0.01248738273547285
LC-DeepONet,6.0,2.8571428571428568,0.13551324158906936,0.015302591892973066
LC-DeepONet,6.0,2.952380952380952,0.13815189450979232,0.017848755583265333
LC-DeepONet,6.0,3.0476190476190474,0.14112979769706727,0.02027841366567976
LC-DeepONet,6.0,3.142857142857143,0.1445169061422348,0.022548079403849064
LC-DeepONet,6.0,3.238095238095238,0.14824978411197662,0.024807137401976317
LC-DeepONet,6.0,3.333333333333333,0.15219729840755464,0.026748026379209103
LC-DeepONet,6.0,3.4285714285714284,0.1562670037150383,0.028256471789647516
LC-DeepONet,6.0,3.5238095238095237,0.16034557670354843,0.0292092432140509
LC-DeepONet,6.0,3.6190476190476186,0.16443391740322114,0.02983650987874963
LC-DeepONet,6.0,3.714285714285714,0.16831853985786438,0.030136173453026664
LC-DeepONet,6.0,3.8095238095238093,0.171980556845665,0.029919003839229266
LC-DeepONet,6.0,3.9047619047619047,0.1753562331199646,0.02895918023292621
LC-DeepONet,6.0,4.0,0.17856475114822387,0.02690295838654896
LC-DeepONet,6.0,4.095238095238095,0.18156373202800752,0.023789011338101716
LC-DeepONet,6.0,4.19047619047619,0.18404356837272645,0.01967664080581052
LC-DeepONet,6.0,4.285714285714286,0.1860361337661743,0.014886423398652811
LC-DeepONet,6.0,4.3809523809523805,0.18736530542373658,0.009631249789872337
LC-DeepONet,6.0,4.476190476190476,0.1880655199289322,0.0047337930585966675
LC-DeepONet,6.0,4.571428571428571,0.18813940286636352,0.0043688572537859864
LC-DeepONet,6.0,4.666666666666666,0.1877351939678192,0.008322854500156652
LC-DeepONet,6.0,4.761904761904762,0.18715806007385255,0.011724889140872632
LC-DeepONet,6.0,4.857142857142857,0.1864204704761505,0.014418692696311769
LC-DeepONet,6.0,4.9523809523809526,0.18532350957393645,0.01688021157457083
LC-DeepONet,6.0,5.0476190476190474,0.18353400528430938,0.019558926416206532
LC-DeepONet,6.0,5.142857142857142,0.1810707300901413,0.022509929898184216
